id,title,original_language,release_date,vote_average,vote_count,popularity,genre_ids,Genres
12493,High and Low,ja,3/1/63,8.3,881,17.732,"[18, 80, 9648]","['Drama', 'Crime', 'Mystery']"
1139087,Once Upon a Studio,en,9/24/23,8.332,346,40.728,"[16, 10751, 14, 35]","['Animation', 'Family', 'Fantasy', 'Comedy']"
820067,The Quintessential Quintuplets Movie,ja,5/20/22,8.3,377,33.221,"[16, 35, 10749]","['Animation', 'Comedy', 'Romance']"
15804,A Brighter Summer Day,zh,7/27/91,8.324,304,16.245,"[80, 18, 10749]","['Crime', 'Drama', 'Romance']"
92321,Hotarubi no Mori e,ja,9/17/11,8.318,1093,0.018,"[10749, 16, 14]","['Romance', 'Animation', 'Fantasy']"
105,Back to the Future,en,7/3/85,8.317,19705,74.339,"[12, 35, 878]","['Adventure', 'Comedy', 'Science Fiction']"
207,Dead Poets Society,en,6/2/89,8.312,11084,56.185,[18],['Drama']
10494,Perfect Blue,ja,2/28/98,8.3,2595,35.815,"[16, 53]","['Animation', 'Thriller']"
599,Sunset Boulevard,en,8/10/50,8.31,2530,15.047,[18],['Drama']
914,The Great Dictator,en,10/15/40,8.3,3317,19.607,"[35, 10752]","['Comedy', 'War']"
18491,Neon Genesis Evangelion: The End of Evangelion,ja,7/19/97,8.308,1563,35.103,"[16, 878, 28, 18]","['Animation', 'Science Fiction', 'Action', 'Drama']"
101,Léon: The Professional,en,9/14/94,8.3,14614,59.768,"[80, 18, 28]","['Crime', 'Drama', 'Action']"
644479,Dedicated to my ex,es,11/1/19,8.304,501,6.776,"[18, 35]","['Drama', 'Comedy']"
3782,Ikiru,ja,10/9/52,8.301,1110,15.751,[18],['Drama']
3082,Modern Times,en,2/5/36,8.294,3642,15.069,"[35, 18, 10749]","['Comedy', 'Drama', 'Romance']"
335,Once Upon a Time in the West,it,12/21/68,8.286,4273,33.498,"[18, 37]","['Drama', 'Western']"
28,Apocalypse Now,en,8/15/79,8.3,8124,42.405,"[18, 10752]","['Drama', 'War']"
901,City Lights,en,2/6/31,8.279,2131,11.42,"[35, 18, 10749]","['Comedy', 'Drama', 'Romance']"
77338,The Intouchables,fr,11/2/11,8.278,17048,49.766,"[18, 35]","['Drama', 'Comedy']"
1585,It's a Wonderful Life,en,12/20/46,8.277,4227,52.292,"[18, 10751, 14]","['Drama', 'Family', 'Fantasy']"
975,Paths of Glory,en,10/25/57,8.272,2858,18.217,"[10752, 18, 36]","['War', 'Drama', 'History']"
533514,Violet Evergarden: The Movie,ja,9/18/20,8.3,401,27.858,"[16, 14, 10749, 18]","['Animation', 'Fantasy', 'Romance', 'Drama']"
637920,Miracle in Cell No. 7,tr,10/10/19,8.266,4366,34.909,[18],['Drama']
527641,Five Feet Apart,en,3/14/19,8.265,5542,39.853,"[10749, 18]","['Romance', 'Drama']"
632632,Given,ja,8/22/20,8.3,377,17.187,"[16, 18, 10402, 10749]","['Animation', 'Drama', 'Music', 'Romance']"
10376,The Legend of 1900,it,10/28/98,8.3,2224,20.013,"[18, 10402]","['Drama', 'Music']"
29259,Le Trou,fr,3/18/60,8.263,460,13.373,"[18, 53, 80]","['Drama', 'Thriller', 'Crime']"
